movie_id,title,description,genre,review,actors,directors,release_date,original_language,vote_average,vote_count,source_dataset
10061,Escape from L.A.,"This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",N/A,not bad not great; audience_score:5.6; votes:373,Kurt Russell | Stacy Keach | Steve Buscemi | Pam Grier | Cliff Robertson,John Carpenter,09-08-1996,en,5.6,373,TMDB 5000 Movie Dataset
239571,The Best of Me,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,"Drama, Romance","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 7.2/10.","Michelle Monaghan, James Marsden, Liana Liberato, Luke Bracey, Gerald McRaney",Michael Hoffman,16-10-2014,en,7.2,765,TMDB 5000 Movie Dataset
77930,Magic Mike,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.","Drama, Comedy","Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 6.1/10.","Channing Tatum, Matthew McConaughey, Alex Pettyfer, Cody Horn, Olivia Munn",Steven Soderbergh,28-06-2012,en,6.1,1040,TMDB 5000 Movie Dataset
156022,The Equalizer,"In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chloë Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.","Thriller, Action, Crime","<br> review: okay/good film, some issues; rating=7.1 <end>","Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Haley Bennett",Antoine Fuqua,24-09-2014,en,7.1,2954,TMDB 5000 Movie Dataset
46705,Blue Valentine,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",Drama | Romance,"Decent watch; not perfect, but audience rating is around 6.9/10 from 890 votes.","Ryan Gosling, Michelle Williams, Mike Vogel, John Doman, Faith Wladyka",Derek Cianfrance,27-12-2010,en,6.9,890,TMDB 5000 Movie Dataset
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Action, Adventure, Crime","user says: MIXED-TO-POSITIVE AUDIENCE REACTION. SOME VIEWERS LIKED THE PACING, OTHERS FOUND PARTS UNEVEN. SCORE 6.3/10. <end>","Daniel Craig,  Christoph Waltz,  Léa Seydoux,  Ralph Fiennes,  Monica Bellucci",Sam Mendes,26-10-2015,en,6.3,4466,TMDB 5000 Movie Dataset
652,Troy,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.","Adventure, Drama, War","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.9/10.","Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean",Wolfgang Petersen,13-05-2004,en,6.9,2759,TMDB 5000 Movie Dataset
250546,Annabelle,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle.",Horror,"Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 5.6/10.","Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard, Eric Ladin",John R. Leonetti,02-10-2014,en,5.6,1517,TMDB 5000 Movie Dataset
2900,The Astronaut's Wife,N/A,"Drama, Science Fiction, Thriller",not bad not great; audience_score:5.4; votes:254,"Johnny Depp, Charlize Theron, Joe Morton, Clea DuVall, Nick Cassavetes",Rand Ravich,26-08-1999,en,5.4,254,TMDB 5000 Movie Dataset
20504,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Action, Thriller, Science Fiction",,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals","Albert Hughes, Allen Hughes",14-01-2010,en,6.6,2164,TMDB 5000 Movie Dataset
417859,Puss in Boots,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.","Action, Adventure, Animation, Family, Fantasy","review: okay/good film, some issues; rating=6.4","Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris",Chris Miller,28-10-2011,en,6.4,451,TMDB 5000 Movie Dataset
5925,The Great Escape,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocates them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.","Adventure, Drama, History, Thriller, War","positive review: impressive movie, worth watching; vote_avg=7.8; votes=717","Steve McQueen, James Garner, Richard Attenborough, James Donald, Charles Bronson",John Sturges,20-Jun-63,en,7.8,717,TMDB 5000 Movie Dataset
9645,Ghost Ship,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.","Horror, Mystery, Thriller",not bad not great; audience_score:5.3; votes:531,"Gabriel Byrne, Julianna Margulies, Desmond Harrington, Ron Eldard, Isaiah Washington",Steve Beck,25-10-2002,en,5.3,531,TMDB 5000 Movie Dataset
783,Gandhi,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.","Drama, History","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 7.4/10.",Ben Kingsley/Candice Bergen/Edward Fox/John Gielgud/Trevor Howard,Richard Attenborough,30-11-1982,en,7.4,716,TMDB 5000 Movie Dataset
1538,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,Drama | Crime | Thriller,not available,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo, Peter Berg",Michael Mann,04-08-2004,en,7,1451,TMDB 5000 Movie Dataset
77877,The Lucky One,"U.S. Marine Sergeant Logan Thibault returns from his third tour of duty in Iraq, with the one thing he credits with keeping him alive-a photograph he found of a woman he doesn't even know. Learning her name is Beth and where she lives, he shows up at her door, and ends up taking a job at her family-run local kennel. Despite her initial mistrust and the complications in her life, a romance develops between them, giving Logan hope that Beth could be much more than his good luck charm.","Drama, Romance","Decent watch; not perfect, but audience rating is around 6.8/10 from 946 votes. <end>","Zac Efron, Blythe Danner, Taylor Schilling, Jay R. Ferguson, Riley Thomas Stewart",,19-04-2012,en,6.8,946,TMDB 5000 Movie Dataset
196,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",ADVENTURE; comedy; FAMILY; SCIENCE FICTION,"<br> Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 7.1/10....","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson",Robert Zemeckis,25-05-1990,en,7.1,2900,TMDB 5000 Movie Dataset
64685,Extremely Loud & Incredibly Close,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",DRAMA,"Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.9/10.","Thomas Horn,  Tom Hanks,  Sandra Bullock,  Max von Sydow,  John Goodman",N/A,24-12-2011,en,6.9,708,TMDB 5000 Movie Dataset
1250,Ghost Rider,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.","Thriller, Action, Fantasy, Horror","<br> Mixed reviews. Viewers mention weak areas, but some still found it entertaining. Avg rating 5.2/10....","Nicolas Cage, Eva Mendes, Wes Bentley, Donal Logue, Sam Elliott",Mark Steven Johnson,16-02-2007,en,5.2,1712,TMDB 5000 Movie Dataset
44865,The Grandmaster,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.","Action, Drama, History","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 6.3/10.","Tony Leung Chiu-Wai, Zhang Ziyi, Song Hye-kyo, Chang Chen, Zhao Benshan",Wong Kar-wai,08-01-2013,zh,6.3,273,TMDB 5000 Movie Dataset
9366,Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"Crime, Drama, Thriller","Mixed-to-positive audience reaction. Some viewers liked the pacing, others found parts uneven. Score 7.4/10.!!!","Johnny Depp, Al Pacino, Michael Madsen, Bruno Kirby, James Russo",Mike Newell,27-02-1997,en,7.4,1147,TMDB 5000 Movie Dataset
